ticker,cycle,entry,window,return_k0_c0,return_k0_c0_straddle,difference,u,g,theory,wing_gap,u_bin,g_bin
GLD,1,2008-06-23,estimation,0.4386253208238135,0.06765541849663684,0.37096990232717664,0.7927051143493431,1.080084970688857,0.21091625942727532,0.07703971460504619,"(0.729, 0.838]","(0.997, 1.181]"
GLD,2,2008-07-21,estimation,-0.33762922743515944,-0.08550520537083044,-0.252124022064329,1.1050182214263613,1.0872195819311095,-0.018090017219813292,0.0836235950346747,"(1.099, 2.982]","(0.997, 1.181]"
GLD,3,2008-08-18,estimation,-1.4300593374192208,-1.3191027375678719,-0.11095659985134887,1.578623287807728,1.1232244403326226,-0.6400352414448094,0.11620351360807153,"(1.099, 2.982]","(0.997, 1.181]"
GLD,4,2008-09-22,estimation,0.13861806478941788,-0.10730500465286828,0.24592306944228615,0.9460030685025546,1.1199185730936314,0.1469076457486107,0.11325598006906946,"(0.838, 0.954]","(0.997, 1.181]"
GLD,5,2008-10-20,estimation,0.11636398819276995,0.10231574247989664,0.014048245712873317,0.9859287860606873,1.2158249762930238,0.18642590518811408,0.19542283921493458,"(0.954, 1.099]","(1.181, 1.263]"
GLD,6,2008-11-24,estimation,0.5656396507188213,0.37570895471258203,0.18993069600623924,0.6686252403501278,1.1730724105563521,0.28752369196298305,0.1596262988456378,"(0.377, 0.729]","(0.997, 1.181]"
GLD,7,2008-12-22,estimation,0.544999889917463,0.4006030618423156,0.14439682807514737,0.7263101896924022,1.165922385040153,0.2738559796869516,0.15351252056707662,"(0.377, 0.729]","(0.997, 1.181]"
GLD,8,2009-01-20,estimation,0.42453911497837965,0.11956937419981714,0.30496974077856254,0.798680074383436,1.0934521509025241,0.21530762348046495,0.08933980242925266,"(0.729, 0.838]","(0.997, 1.181]"
GLD,9,2009-02-23,estimation,0.4488008439814657,0.18075963804747427,0.2680412059339914,0.7176008805036977,1.1138498472818217,0.2552845054946778,0.10782234542034817,"(0.377, 0.729]","(0.997, 1.181]"
GLD,10,2009-03-23,estimation,0.603672064447495,0.24116411248911418,0.3625079519583808,0.6481604867852664,1.1965248717817571,0.29705034562779886,0.17942141526412167,"(0.377, 0.729]","(1.181, 1.263]"
GLD,11,2009-04-20,estimation,0.6943818661788446,0.3353287086946377,0.35905315748420685,0.5553042896005519,1.107981424007373,0.2769937986778073,0.10253982284824638,"(0.377, 0.729]","(0.997, 1.181]"
GLD,12,2009-05-18,estimation,0.3834795224089901,0.1720013072495466,0.21147821515944348,0.8918171727976002,1.176243797115574,0.21564963708173923,0.16232613846301544,"(0.838, 0.954]","(0.997, 1.181]"
GLD,13,2009-06-22,estimation,0.6014560956891356,0.4075740087162345,0.1938820869729011,0.6410792470573438,1.1720861512981613,0.29043727372422234,0.15878519638682984,"(0.377, 0.729]","(0.997, 1.181]"
GLD,14,2009-07-20,estimation,0.4766259342752677,0.19599153452347792,0.28063439975178983,0.746382718276786,1.1437901150879766,0.25932905799979117,0.1343474102935033,"(0.729, 0.838]","(0.997, 1.181]"
GLD,15,2009-08-24,estimation,0.4942218246639659,-0.07974435869367909,0.573966183357645,0.8438263558883904,1.3461671997721425,0.3148854345731158,0.29726144324946485,"(0.838, 0.954]","(1.263, 1.784]"
GLD,16,2009-09-21,estimation,0.48975240951604115,0.02646544248073999,0.46328696703530114,0.7987303935865083,1.2276880664634746,0.27907865218234196,0.2051327799191443,"(0.729, 0.838]","(1.181, 1.263]"
GLD,17,2009-10-19,estimation,0.31183196444555705,-0.00200591153258074,0.3138378759781378,0.8354993675636229,1.1765840013848503,0.24220624749944408,0.1626153260286028,"(0.729, 0.838]","(0.997, 1.181]"
GLD,18,2009-11-23,estimation,-0.0912361279967908,-0.15505372970411974,0.06381760170732893,1.1823948238594273,1.2410730122767122,0.05590387154641996,0.21597633791386048,"(1.099, 2.982]","(1.181, 1.263]"
GLD,19,2009-12-21,estimation,0.5584489889079959,0.2508709538756154,0.30757803503238046,0.7598897330245175,1.1823715861812503,0.27152176723042437,0.16752224029150578,"(0.729, 0.838]","(1.181, 1.263]"
GLD,20,2010-01-19,estimation,-0.1580964973879056,-0.05307670944453909,-0.1050197879433665,1.14506871814366,1.2096688375473048,0.06115026990977279,0.19034663417182623,"(1.099, 2.982]","(1.181, 1.263]"
GLD,21,2010-02-22,estimation,0.5337421746497972,0.17408573492616264,0.3596564397236346,0.708690409405405,1.2427624702682654,0.30455678902436345,0.21733670035651528,"(0.377, 0.729]","(1.181, 1.263]"
GLD,22,2010-03-22,estimation,0.26257513703458746,0.006979982606464982,0.2555951544281225,0.9609065822689847,1.3369223852602385,0.27025956339351864,0.29037024502132347,"(0.954, 1.099]","(1.263, 1.784]"
GLD,23,2010-04-19,estimation,-0.08722836062753213,-0.040714071975398475,-0.046514288652133653,1.0388772436979372,1.229338661301359,0.16095323345739942,0.2064763510472355,"(0.954, 1.099]","(1.181, 1.263]"
GLD,24,2010-05-24,estimation,0.6032601639570847,0.2991630787461924,0.3040970852108923,0.6435184913212784,1.251258789306704,0.31255893905961785,0.2241500760435644,"(0.377, 0.729]","(1.181, 1.263]"
GLD,25,2010-06-21,estimation,0.15223351904179264,0.008153251577898585,0.14408026746389405,1.003265825237265,1.236551181220041,0.18927419159060332,0.21232619913244616,"(0.954, 1.099]","(1.181, 1.263]"
GLD,26,2010-07-19,estimation,0.6581643113388499,0.3430404375390932,0.3151238737997567,0.5805595399490748,1.296232411017092,0.32053720401518565,0.25946191134096924,"(0.377, 0.729]","(1.263, 1.784]"
GLD,27,2010-08-23,estimation,0.541807143258674,0.2440531539767554,0.29775398928191854,0.6768489902134174,1.2957057758105848,0.3232775513068314,0.2590555473185318,"(0.377, 0.729]","(1.263, 1.784]"
GLD,28,2010-09-20,estimation,0.30156058306009864,0.055820365239246536,0.2457402178208521,0.8092068101547314,1.1752102334754089,0.25201657903809815,0.16144705369820214,"(0.729, 0.838]","(0.997, 1.181]"
GLD,29,2010-10-18,estimation,-0.20452367582213152,-0.2876982552672624,0.08317457944513088,1.172723180722933,1.235389567706274,0.05948757103717983,0.21138635977765932,"(1.099, 2.982]","(1.181, 1.263]"
GLD,30,2010-11-22,estimation,0.3728806570024977,0.3584310867208593,0.014449570281638346,0.8055999190546781,1.1774498396223048,0.25441615925300076,0.16335094695419566,"(0.729, 0.838]","(0.997, 1.181]"
GLD,31,2010-12-20,estimation,0.34786101008078485,0.07137714491356321,0.2764838651672216,0.9172066783704975,1.2541786120511254,0.24643452298219637,0.22648086592056293,"(0.838, 0.954]","(1.181, 1.263]"
GLD,32,2011-01-24,estimation,0.3270633722961663,0.08204106166944447,0.2450223106267218,0.8520564436847032,1.2009079651171852,0.24751371075863726,0.1830779082856918,"(0.838, 0.954]","(1.181, 1.263]"
GLD,33,2011-02-22,estimation,0.13458464697915984,0.10888344858867217,0.025701198390487665,0.9095360421213957,1.130533417490225,0.17779667102491414,0.12268957221958994,"(0.838, 0.954]","(0.997, 1.181]"
GLD,34,2011-03-21,estimation,0.3996751487962132,0.16745203928903504,0.23222310950717814,0.7632679520172401,1.2999656657338194,0.3151192186060914,0.26233785314473007,"(0.729, 0.838]","(1.263, 1.784]"
GLD,35,2011-04-18,estimation,-0.08815647659326961,-0.04854346026033229,-0.039613016332937324,1.158851477925997,1.3274993392969587,0.1472225391104911,0.2832969764290938,"(1.099, 2.982]","(1.263, 1.784]"
GLD,36,2011-05-23,estimation,0.7731930235023184,0.4978421068938777,0.27535091660844074,0.49556696474375883,1.2541956692205884,0.29975492155757877,0.2264944660994443,"(0.377, 0.729]","(1.181, 1.263]"
GLD,37,2011-06-20,estimation,0.20018038852045006,-0.05544040646732036,0.2556207949877704,0.9616875511655173,1.2308649991563076,0.21031112344951275,0.20771717356556227,"(0.954, 1.099]","(1.181, 1.263]"
GLD,38,2011-07-18,estimation,-0.7041229115647532,-0.3502392411628835,-0.35388367040186963,1.2492136663334097,1.1335944394445139,-0.12741163267463396,0.12539350416398426,"(1.099, 2.982]","(0.997, 1.181]"
GLD,39,2011-08-22,estimation,-0.04650546113025878,-0.14049069285736618,0.0939852317271074,1.1149647296576648,1.223505202249854,0.09891155220110948,0.20171985583258295,"(1.099, 2.982]","(1.181, 1.263]"
