arm,unit,cycles,mean,median,min,max
straddle,GLD,163,84.69546374031262,78.81785720628683,20.711356335561952,201.87582503358212
straddle,SLV,157,49.10499464839475,43.056419545691895,9.159715257643926,132.11398138461539
straddle,UNG,168,33.122965903457505,29.28046878785583,8.850692290085979,91.1089111313264
straddle,USO,175,42.68380325686706,38.65516718599999,8.880799700831023,141.16493434532376
straddle,ALL,663,52.11035986606566,43.14070873891625,8.850692290085979,201.87582503358212
strip,GLD,163,136.03727217733763,124.30959381496459,27.23251218581695,375.5972151885373
strip,SLV,73,60.86772435555211,57.952417161070095,15.548592447752078,163.98007750561655
strip,UNG,36,46.95776604043846,43.005038725386356,19.848751882341563,88.60858984666415
strip,USO,122,66.32354945082344,58.7793378225356,7.18984816145552,170.4831478181016
strip,ALL,394,92.38419252111062,77.26200489875853,7.18984816145552,375.5972151885373
