arm,ticker,entry_year,half_spread_share_median,holdout
straddle,GLD,2008,0.024630541871921183,False
straddle,GLD,2009,0.022739018087855317,False
straddle,GLD,2010,0.006552833881273501,False
straddle,GLD,2011,0.005510294771144994,False
straddle,GLD,2012,0.0050113889495797415,False
straddle,GLD,2013,0.004287530406933396,False
straddle,GLD,2014,0.0029947847136932264,False
straddle,GLD,2015,0.009619221952868594,False
straddle,GLD,2016,0.007645408858934874,False
straddle,GLD,2017,0.007692762885377839,False
straddle,GLD,2018,0.008164133657771203,False
straddle,GLD,2019,0.005348205348205353,False
straddle,GLD,2020,0.010192147034252308,False
straddle,GLD,2021,0.005876642313359534,False
straddle,GLD,2022,0.00667324024301029,True
straddle,GLD,2023,0.006554022755787875,True
straddle,GLD,2024,0.009334286356844938,True
straddle,GLD,2025,0.00896860986547086,True
straddle,SLV,2008,0.0714285714285714,False
straddle,SLV,2009,0.05084745762711866,False
straddle,SLV,2010,0.012553180314092138,False
straddle,SLV,2011,0.003566977796993823,False
straddle,SLV,2012,0.006116265150381571,False
straddle,SLV,2013,0.007413916195288051,False
straddle,SLV,2014,0.013491983462740737,False
straddle,SLV,2015,0.015756823821339964,False
straddle,SLV,2016,0.022474747474747467,False
straddle,SLV,2017,0.016261237440507684,False
straddle,SLV,2018,0.01852487135506004,False
straddle,SLV,2019,0.017403147699757884,False
straddle,SLV,2020,0.008772604848018476,False
straddle,SLV,2021,0.007597122302158281,False
straddle,SLV,2022,0.008166666666666673,True
straddle,SLV,2023,0.008457036825578062,True
straddle,SLV,2024,0.006215016406099214,True
straddle,SLV,2025,0.009966777408637882,True
straddle,UNG,2007,0.0534974093264249,False
straddle,UNG,2008,0.03856295319709953,False
straddle,UNG,2009,0.033724895793861315,False
straddle,UNG,2010,0.015165441176470602,False
straddle,UNG,2011,0.017543859649122823,False
straddle,UNG,2012,0.006728114770173037,False
straddle,UNG,2013,0.010080712682943159,False
straddle,UNG,2014,0.008713942307692315,False
straddle,UNG,2015,0.037644201578627814,False
straddle,UNG,2016,0.04526387669495657,False
straddle,UNG,2017,0.04587155963302749,False
straddle,UNG,2018,0.02804347826086954,False
straddle,UNG,2019,0.04145189003436427,False
straddle,UNG,2020,0.013197586726998504,False
straddle,UNG,2021,0.020266182698124625,False
straddle,UNG,2022,0.02017766254146222,True
straddle,UNG,2023,0.013259571478749555,True
straddle,UNG,2024,0.017902813299232753,True
straddle,UNG,2025,0.023121387283237014,True
straddle,USO,2007,0.04768348127300283,False
straddle,USO,2008,0.025779360565551336,False
straddle,USO,2009,0.02174027201596384,False
straddle,USO,2010,0.00761602500409983,False
straddle,USO,2011,0.005043191056910574,False
straddle,USO,2012,0.006617207654972386,False
straddle,USO,2013,0.006944779358572449,False
straddle,USO,2014,0.008461235733962968,False
straddle,USO,2015,0.011399320342409747,False
straddle,USO,2016,0.016395400925787666,False
straddle,USO,2017,0.023507805325987154,False
straddle,USO,2018,0.021972734562951082,False
straddle,USO,2019,0.013452509931383184,False
straddle,USO,2020,0.014981273408239673,False
straddle,USO,2021,0.018605428841585774,False
straddle,USO,2022,0.017136344992169456,True
straddle,USO,2023,0.020130537316645915,True
straddle,USO,2024,0.024150197444181815,True
straddle,USO,2025,0.03939962476547842,True
strip,GLD,2008,0.0649545245253124,False
strip,GLD,2009,0.0690363526088302,False
strip,GLD,2010,0.031513098337196156,False
strip,GLD,2011,0.024852205854129256,False
strip,GLD,2012,0.034271046413400855,False
strip,GLD,2013,0.025709478752202204,False
strip,GLD,2014,0.025939382754973872,False
strip,GLD,2015,0.03690126800619474,False
strip,GLD,2016,0.028615619540358357,False
strip,GLD,2017,0.030162147241827277,False
strip,GLD,2018,0.035338403736638484,False
strip,GLD,2019,0.02586710337563443,False
strip,GLD,2020,0.018600656018784866,False
strip,GLD,2021,0.023083099392400767,False
strip,GLD,2022,0.020311954739165684,True
strip,GLD,2023,0.023344894328487395,True
strip,GLD,2024,0.020954947609116488,True
strip,GLD,2025,0.02545477607934922,True
strip,SLV,2010,0.026000197502658695,False
strip,SLV,2011,0.024565196867105624,False
strip,SLV,2012,0.04391044246708729,False
strip,SLV,2013,0.04357434506414259,False
strip,SLV,2014,0.061280528016637574,False
strip,SLV,2015,0.05109176802870627,False
strip,SLV,2016,0.044855227373755455,False
strip,SLV,2019,0.04152799467798142,False
strip,SLV,2020,0.04004147630293112,False
strip,SLV,2021,0.043826152180178074,False
strip,SLV,2022,0.042154330846476004,True
strip,SLV,2023,0.04076522915870475,True
strip,SLV,2024,0.02874832683832848,True
strip,SLV,2025,0.03493065279789374,True
strip,UNG,2007,0.11522765549157278,False
strip,UNG,2008,0.08793834771786527,False
strip,UNG,2012,0.01883162741829124,False
strip,UNG,2014,0.08936624572955384,False
strip,UNG,2015,0.1151161880317033,False
strip,UNG,2018,0.07693741579138438,False
strip,UNG,2019,0.07444590511302973,False
strip,UNG,2020,0.033963442487810684,False
strip,UNG,2021,0.04345551413027277,False
strip,UNG,2022,0.05408930605890288,True
strip,UNG,2023,0.07738732701698312,True
strip,UNG,2024,0.1438585936873228,True
strip,UNG,2025,0.15672915057094206,True
strip,USO,2007,0.11739075347716603,False
strip,USO,2008,0.051800977415612466,False
strip,USO,2009,0.05939216697435718,False
strip,USO,2010,0.028355591722634715,False
strip,USO,2011,0.0221147688109236,False
strip,USO,2012,0.029985192411841326,False
strip,USO,2013,0.03592384113438428,False
strip,USO,2014,0.08247013621352287,False
strip,USO,2015,0.04663107858369647,False
strip,USO,2016,0.052184479507002175,False
strip,USO,2018,0.04136246185114655,False
strip,USO,2019,0.05560008672940028,False
strip,USO,2020,0.04195678307498251,False
strip,USO,2021,0.05821469841793109,False
strip,USO,2022,0.08738355732216842,True
strip,USO,2023,0.09388958199919742,True
strip,USO,2024,0.12361817557284671,True
strip,USO,2025,0.23071409527758108,True
