ticker,entry_year,strip_cycles,median_puts,median_calls,min_puts,min_calls,median_span_put,median_span_call,min_span_put,min_span_call,fail_strike_count,fail_span,fail_no_sigma_atm,pass_floor,pass_floor_span_in_price
ALL,2007,16,8.0,11.0,2,6,1.6870071524456725,1.9668962014544051,0.5289177072113873,1.4135082096398812,4,7,0,8,8
ALL,2008,31,12.0,18.0,1,4,2.0303838117478388,2.4537815873139546,0.6593462174085253,0.8820698220183304,5,7,0,23,22
ALL,2009,48,5.0,8.0,1,2,2.01332837300611,2.274997532821054,0.7815008765180212,1.3971720595932402,24,15,0,24,23
ALL,2010,45,8.0,10.0,1,2,3.248506543170614,3.5463720420473464,1.1547480077153653,1.5850798729882218,21,3,0,24,24
ALL,2011,44,13.5,16.0,1,1,4.19977453576405,3.648068946619187,0.9183138078324272,1.8128657822744823,8,6,0,36,36
ALL,2012,48,12.0,18.0,1,2,4.359493745940464,4.520382168715004,1.4013414720270376,2.2607964536638376,10,2,0,38,38
ALL,2013,48,10.0,14.0,2,4,3.5278519430582658,3.6396424459681564,1.3755448131819086,2.031543013468699,15,4,0,33,33
ALL,2014,48,8.5,14.0,4,4,3.140740064305424,4.430932216182112,1.474928712727387,1.8874463864033846,9,1,0,38,37
ALL,2015,48,7.0,9.0,2,4,2.615855662046513,3.1305741861591336,1.0267883463683996,1.992078724822717,20,5,0,28,28
ALL,2016,48,4.0,7.5,1,3,2.2407241975667844,3.028492707502237,0.6300073880268708,1.6395517546936729,32,7,0,16,16
ALL,2017,45,3.0,5.0,1,1,2.1675545366659414,2.6891928135637237,0.7714504688607774,1.0590639478906854,33,12,0,12,12
ALL,2018,48,4.0,8.0,1,3,2.2065470160531433,3.931157667282993,0.7465487217642521,1.4304853825334978,30,10,0,16,15
ALL,2019,48,5.0,10.0,1,3,2.1015342709544926,3.9096586430189264,0.7766378315461597,1.7719951704806987,26,8,0,21,18
ALL,2020,48,13.0,16.5,2,5,4.125406905605953,4.189214741080667,1.1855522616129301,1.9368618310617693,8,5,0,39,37
ALL,2021,48,15.5,23.0,2,4,3.8216605600272837,5.108691543187804,1.2171643126303957,2.0683188959244645,8,2,0,39,38
ALL,2022,48,22.5,24.5,6,11,3.7446742417987577,4.586758474400595,1.436102036092537,1.121511925137966,0,4,0,44,45
