rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3,GLD,2009,0,12,35440.85529146403,26758.043602435628,27926.108785171862,30039.454017876094,32736.238920610944,39600.120461329425,47245.40214374078,49670.65682954833,12,635.25,479.9,490.4,556.25,627.0,681.5,817.4,825.85
section 3,GLD,2010,0,12,32279.55854067985,26334.705863137202,26669.22684626724,27702.66203491808,32367.944374971434,35509.99869195391,39631.53931302034,40228.00688162738,12,956.1666666666666,646.05,662.6,783.5,980.5,1052.0,1184.3,1299.7499999999998
section 3,GLD,2011,0,12,41011.88371208342,24446.081242683722,25919.683213549553,28103.174906057844,41278.04886172235,46371.95513712448,61463.51241608948,65835.04763776281,12,1139.0,675.3,690.5,790.25,934.0,1297.5,2075.1000000000004,2202.75
section 3,GLD,2012,0,12,34002.232880305826,25943.0060039476,27606.441261307922,29436.326970045815,31810.079682101183,35594.77127387191,37932.39795982224,48339.577173438476,12,1100.0833333333333,797.75,879.5,961.25,1037.5,1218.5,1402.7,1489.3999999999999
section 3,GLD,2013,0,12,36506.21683483898,23486.0505597861,25468.91391310903,29412.307257029497,36008.81332384356,44704.439726078446,49376.81809565753,50328.522773874894,12,929.75,778.05,797.3,853.25,897.0,977.75,1089.2,1143.85
section 3,GLD,2014,0,12,22185.91011276498,15889.630320580272,16568.713612345222,20068.80456789883,21877.616239495517,24057.77213035221,28085.774502617605,29270.38321308059,12,783.9166666666666,610.15,648.6,704.25,749.0,817.25,937.7,1055.7499999999998
section 3,GLD,2015,0,12,20167.65240695709,14026.419091138494,15032.871974958074,15803.57661872873,17899.977619102257,22135.381311541063,23388.926990647076,31652.38074042466,12,704.3333333333334,576.2,579.9,628.5,710.0,783.5,823.7,835.6999999999999
section 3,GLD,2016,0,12,22274.27670951161,18126.503353254422,18472.40873118387,19387.48629309346,22276.78369735356,24547.089156850336,26127.12084274347,26578.38057309571,12,718.8333333333334,576.55,579.6,615.0,674.0,812.25,922.8000000000001,948.5
section 3,GLD,2017,0,12,15759.056852290161,11141.580716166995,11984.769598626302,13573.50586375448,15667.5107010815,17992.313416949084,19011.2335983321,20324.961256570845,12,752.5,511.05,568.7,641.75,687.0,871.75,905.8,1058.2999999999997
section 3,GLD,2018,0,12,14614.150138012395,10012.175924385665,10306.479522956497,12667.532724242024,14795.005095910676,16741.672773675687,17358.11584590197,18433.806870638407,12,856.0833333333334,634.2,645.8,737.75,840.5,1002.25,1058.5,1065.35
section 3,GLD,2019,0,12,19442.800985256177,9636.293148768858,10961.930485694871,13889.673431061685,17992.538528294623,23533.93915963154,32342.77363898248,33460.198707806616,12,707.1666666666666,462.6,506.2,612.25,709.5,824.0,912.8000000000001,929.0
section 3,GLD,2020,0,12,50842.06540386352,25212.63086029828,32133.321946496257,40089.37144475189,51012.882552728195,59227.26380352808,74297.57761337011,78299.13985398957,12,1340.9166666666667,693.65,818.9,1063.25,1435.5,1646.25,1809.0,1837.05
section 3,GLD,2021,0,12,36994.57170991621,27400.413754710517,28176.4998914355,34178.68789446385,36518.0177634093,39246.31173270752,42419.327035397924,47351.673524482045,12,1405.6666666666667,1195.8,1203.4,1232.5,1353.0,1548.25,1568.2,1683.2999999999997
section 3,GLD,2022,0,12,46900.209067250136,27835.436036290994,29155.17863783085,32266.7620439506,38550.972687116766,66260.6065397851,67530.90696096452,72929.33420915168,12,1667.8333333333333,893.05,958.9,1138.0,1397.5,2005.5,2866.8,2907.75
section 3,GLD,2023,0,12,36781.059356416365,22444.69939799572,23217.968438075204,28381.101512921927,33115.306701833324,37895.342077797446,49372.64621447046,63310.06841209266,12,1270.75,893.15,963.4,985.75,1155.0,1621.0,1679.5,1724.1999999999998
section 3,GLD,2024,0,12,48058.59539722844,23647.87748449367,26295.83970508816,37084.080024991985,42660.779012817366,57710.575744558555,70273.93909686997,82362.55393267429,12,1328.1666666666667,885.5,927.4,956.5,1214.5,1525.25,1979.0,2073.35
section 3,GLD,2025,0,7,67832.85475265034,43052.287484901295,44417.636622769045,47050.555686094915,62373.483548241915,74659.07094971041,98054.2613172708,112702.2847094685,7,1214.857142857143,1097.9,1113.8,1137.5,1143.0,1284.0,1348.4,1392.1999999999998
section 3,GLD,ALL,0,206,33778.91833180736,13337.886200680272,15667.5107010815,21196.073022530436,31260.793671239557,41567.64173770843,57543.993733715666,68789.39720371977,206,1009.0,562.25,595.0,700.25,922.0,1197.5,1577.5,1793.0
section 3,SLV,2008,0,1,8317.63771102671,8317.63771102671,8317.63771102671,8317.63771102671,8317.63771102671,8317.63771102671,8317.63771102671,8317.63771102671,1,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0
