entry,gated,funds,cumulative,series
2007-06-18,0.04995243564581328,2,0.04995243564581328,unconditional
2007-07-23,-0.44766411004040363,1,-0.3977116743945903,unconditional
2007-08-20,0.41462804302899314,1,0.016916368634402823,unconditional
2007-09-24,0.09728378472048609,1,0.11420015335488891,unconditional
2007-11-19,0.06998317224297299,2,0.18418332559786188,unconditional
2007-12-24,0.13942228177321125,1,0.32360560737107313,unconditional
2008-03-24,0.22738283867240006,2,0.5509884460434732,unconditional
2008-04-21,0.18097633802008717,2,0.7319647840635604,unconditional
2008-05-19,-0.1403680306012962,2,0.5915967534622641,unconditional
2008-06-23,-0.13814414141634215,3,0.453452612045922,unconditional
2008-07-21,0.02184818826986551,2,0.47530080031578753,unconditional
2008-08-18,-0.7609517317189296,2,-0.28565093140314207,unconditional
2008-09-22,-0.18852925431359088,3,-0.4741801857167329,unconditional
2008-10-20,-0.21127679197318402,2,-0.685456977689917,unconditional
2008-11-24,0.21326642938559862,3,-0.4721905483043184,unconditional
2008-12-22,0.36585099823103906,2,-0.10633955007327933,unconditional
2009-01-20,0.3800517416196436,2,0.2737121915463643,unconditional
2009-02-23,0.12136890061546886,2,0.3950810921618331,unconditional
2009-03-23,0.42121968519054087,2,0.816300777352374,unconditional
2009-04-20,0.5395293779861171,2,1.355830155338491,unconditional
2009-05-18,0.22656633707988488,2,1.582396492418376,unconditional
2009-06-22,0.4591458290779607,2,2.041542321496337,unconditional
2009-07-20,0.12394805691015297,2,2.16549037840649,unconditional
2009-08-24,0.37642030765634155,2,2.5419106860628315,unconditional
2009-09-21,0.22759582698956765,2,2.769506513052399,unconditional
2009-10-19,0.2598682218714131,2,3.0293747349238123,unconditional
2009-11-23,0.16214371186792728,2,3.1915184467917395,unconditional
2009-12-21,0.49402737685762665,2,3.685545823649366,unconditional
2010-01-19,-0.330278950674622,2,3.355266872974744,unconditional
2010-02-22,0.4395650289099384,2,3.7948319018846823,unconditional
2010-03-22,0.2517041449173585,2,4.046536046802041,unconditional
2010-04-19,-0.403906325211251,2,3.64262972159079,unconditional
2010-05-24,0.37716293504401865,2,4.019792656634809,unconditional
2010-06-21,0.17773123162151652,2,4.197523888256325,unconditional
2010-07-19,0.4694155667370595,2,4.6669394549933845,unconditional
2010-08-23,0.5112193819153276,1,5.178158836908712,unconditional
2010-09-20,0.26519774783497274,2,5.443356584743684,unconditional
2010-10-18,-0.10533039649626787,2,5.338026188247416,unconditional
2010-11-22,0.37704768103072045,2,5.715073869278137,unconditional
2010-12-20,0.3707080726538889,3,6.085781941932026,unconditional
2011-01-24,0.10863696722300542,3,6.194418909155031,unconditional
2011-02-22,0.17459343207029487,3,6.369012341225326,unconditional
2011-03-21,0.4280813668619614,3,6.797093708087287,unconditional
