arm,ticker,cycles,return_k0_c0_per_leg,return_k0_c0_position,return_k0_c0_difference,return_k0_c0_cycles_differing,return_k0.5_c2_per_leg,return_k0.5_c2_position,return_k0.5_c2_difference,return_k0.5_c2_cycles_differing
straddle,GLD,163,0.03316848629894761,0.033214671547113446,4.618524816584499e-05,23,0.011685626800489308,0.011737711570560234,5.2084770070928185e-05,23
straddle,SLV,157,0.05351704539547301,0.053674606161279025,0.00015756076580601393,28,0.03556110832614966,0.03572165408040361,0.00016054575425394904,28
straddle,UNG,168,0.03634889748439846,0.03645823040781103,0.0001093329234125798,47,0.015076678288014891,0.015199032824709392,0.00012235453669450066,47
straddle,USO,175,0.015708551274738365,0.015879442250997706,0.0001708909762593431,41,-0.001200077567607731,-0.0010229834270354208,0.00017709414057231432,41
strip,GLD,163,0.18238660338653637,0.1720468091817477,-0.010339794204788661,29,0.13801248452692552,0.12788653460692492,-0.010125949920000621,29
strip,SLV,73,0.15981351867439036,0.16895640241999818,0.009142883745607797,24,0.12703337058945183,0.13640194657905563,0.009368575989603788,24
strip,UNG,36,0.07364096163596462,0.06122432313523022,-0.012416638500734413,21,0.02963729798718929,0.017615975122954288,-0.012021322864235002,21
strip,USO,122,0.1941170543101364,0.2053659084763812,0.01124885416624478,46,0.15442328067178782,0.16589451474952915,0.011471234077741317,46
