sample,arm,rule,ticker,year,n,mean,p05,p10,p25,p50,p75,p90,p95,mean_cost_k0,median_cost_k0,mean_cost_k0.25,median_cost_k0.25,mean_cost_k0.5,median_cost_k0.5,mean_cost_k0.75,median_cost_k0.75,mean_cost_k1,median_cost_k1
full,straddle,section 3,ALL,2017,48,0.023625145990444064,0.006901962707334721,0.00758231742053094,0.012883031301482713,0.017095265926358846,0.032668124658283226,0.046128783331904295,0.05162645801637322,0.0,0.0,0.005906286497611016,0.004273816481589711,0.011812572995222032,0.008547632963179423,0.01771885949283305,0.012821449444769133,0.023625145990444064,0.017095265926358846
full,straddle,section 3,ALL,2018,48,0.019805173469159967,0.0071443624868282474,0.0077376046631072014,0.012286970863111611,0.018636416251881022,0.02505252100840336,0.03016030534351143,0.03300483808895489,0.0,0.0,0.004951293367289992,0.004659104062970256,0.009902586734579983,0.009318208125940511,0.014853880101869974,0.013977312188910768,0.019805173469159967,0.018636416251881022
full,straddle,section 3,ALL,2019,48,0.019607367337678903,0.0037192787022209705,0.005017572316842411,0.010211732245681381,0.013799010277883529,0.02211830131445906,0.04426999266324286,0.05395424836601307,0.0,0.0,0.004901841834419726,0.0034497525694708823,0.009803683668839451,0.0068995051389417646,0.014705525503259178,0.010349257708412647,0.019607367337678903,0.013799010277883529
full,straddle,section 3,ALL,2020,47,0.012309193565712386,0.004372239275286365,0.005670934091986728,0.007915787714864547,0.011705685618729108,0.015216906019793131,0.01906234649880837,0.021304181740556802,0.0,0.0,0.0030772983914280965,0.002926421404682277,0.006154596782856193,0.005852842809364554,0.009231895174284289,0.00877926421404683,0.012309193565712386,0.011705685618729108
full,straddle,section 3,ALL,2021,48,0.014451864688303845,0.005222467209407514,0.0057295820813985,0.006646460272786323,0.011337930531231768,0.018366158529554224,0.024147507333461205,0.029861132151694187,0.0,0.0,0.003612966172075961,0.002834482632807942,0.007225932344151922,0.005668965265615884,0.010838898516227883,0.008503447898423826,0.014451864688303845,0.011337930531231768
full,straddle,section 3,ALL,2022,48,0.013793950533573825,0.005716391299179853,0.006027728484999421,0.007999999999999998,0.012470068725316419,0.017977261369315337,0.022277290634133935,0.028695788924392212,0.0,0.0,0.0034484876333934563,0.0031175171813291047,0.0068969752667869125,0.006235034362658209,0.01034546290018037,0.009352551543987314,0.013793950533573825,0.012470068725316419
full,straddle,section 3,ALL,2023,48,0.013030708863864378,0.005715618726135339,0.0061989229088991885,0.007858636811023629,0.011834733893557433,0.015475373851008382,0.02420435510887775,0.028504052641983642,0.0,0.0,0.0032576772159660945,0.0029586834733893582,0.006515354431932189,0.0059173669467787165,0.009773031647898283,0.008876050420168074,0.013030708863864378,0.011834733893557433
full,straddle,section 3,ALL,2024,48,0.017822333796457774,0.004830568720379152,0.005872859025032944,0.008099294127743586,0.013585705075066762,0.01844559079591871,0.02907254016064259,0.038675934444103735,0.0,0.0,0.0044555834491144435,0.0033964262687666905,0.008911166898228887,0.006792852537533381,0.013366750347343331,0.010189278806300071,0.017822333796457774,0.013585705075066762
full,straddle,section 3,ALL,2025,28,0.02579886351119077,0.007625697195052941,0.008536673578627571,0.009717235522846129,0.01528960867482267,0.028095744859743477,0.058970595198636344,0.07822468793342575,0.0,0.0,0.006449715877797692,0.0038224021687056674,0.012899431755595384,0.007644804337411335,0.019349147633393078,0.011467206506117003,0.02579886351119077,0.01528960867482267
full,straddle,section 3,ALL,ALL,837,0.017692698231251584,0.00414282138669909,0.005389933762026761,0.007633587786259548,0.012594458438287166,0.021739130434782625,0.03703703703703705,0.050035005834305715,0.0,0.0,0.004423174557812896,0.0031486146095717916,0.008846349115625792,0.006297229219143583,0.013269523673438689,0.009445843828715375,0.017692698231251584,0.012594458438287166
full,straddle,section 3,GLD,2008,7,0.02685636104875646,0.016351907255048603,0.016997008227374703,0.020422824302134643,0.02463054187192118,0.032572431957857785,0.03784313725490196,0.0397549019607843,0.0,0.0,0.006714090262189115,0.006157635467980295,0.01342818052437823,0.01231527093596059,0.020142270786567343,0.018472906403940885,0.02685636104875646,0.02463054187192118
full,straddle,section 3,GLD,2009,12,0.021620882303337138,0.0074704170558313,0.009397764555413437,0.02072704081632651,0.022739018087855317,0.025480848265658412,0.02891319207108681,0.03036758563074352,0.0,0.0,0.005405220575834284,0.005684754521963829,0.010810441151668569,0.011369509043927658,0.016215661727502852,0.017054263565891487,0.021620882303337138,0.022739018087855317
full,straddle,section 3,GLD,2010,12,0.006396665822052751,0.003509986839870976,0.004485018885181533,0.005628399553330231,0.006552833881273501,0.007335277968428283,0.008084079645248246,0.00886787157313903,0.0,0.0,0.0015991664555131877,0.0016382084703183753,0.0031983329110263753,0.0032764169406367507,0.004797499366539563,0.004914625410955126,0.006396665822052751,0.006552833881273501
full,straddle,section 3,GLD,2011,12,0.006254281002446689,0.00196850393700788,0.0020959778676314547,0.0033940484686753626,0.005510294771144992,0.008703335093634464,0.010915625167623292,0.011667410178099595,0.0,0.0,0.0015635702506116723,0.001377573692786248,0.0031271405012233446,0.002755147385572496,0.004690710751835017,0.004132721078358744,0.006254281002446689,0.005510294771144992
full,straddle,section 3,GLD,2012,12,0.006297711729507595,0.0033183479008453863,0.003598901098901102,0.004632011544735829,0.005011388949579742,0.006479177529464303,0.011511372782132157,0.013048525323167746,0.0,0.0,0.0015744279323768988,0.0012528472373949356,0.0031488558647537975,0.002505694474789871,0.0047232837971306965,0.0037585417121848066,0.006297711729507595,0.005011388949579742
full,straddle,section 3,GLD,2013,12,0.005606514280438236,0.0025254079417759965,0.002764094903638397,0.003619189331726058,0.004287530406933396,0.006832559059009594,0.011170979081426809,0.011706624750102985,0.0,0.0,0.001401628570109559,0.001071882601733349,0.002803257140219118,0.002143765203466698,0.004204885710328677,0.003215647805200047,0.005606514280438236,0.004287530406933396
full,straddle,section 3,GLD,2014,12,0.005098950934466742,0.0024616306373913275,0.002485454731040067,0.0025974548969071973,0.002994784713693226,0.005530204871087104,0.008331358375794932,0.013074712643678165,0.0,0.0,0.0012747377336166856,0.0007486961784233065,0.002549475467233371,0.001497392356846613,0.003824213200850057,0.0022460885352699194,0.005098950934466742,0.002994784713693226
full,straddle,section 3,GLD,2015,12,0.009894948068255131,0.007050816696914707,0.007227379298686607,0.007968509984639025,0.009619221952868594,0.011415419125538982,0.01206777263572206,0.013808486418590012,0.0,0.0,0.002473737017063783,0.0024048054882171484,0.004947474034127566,0.004809610976434297,0.0074212110511913485,0.007214416464651445,0.009894948068255131,0.009619221952868594
full,straddle,section 3,GLD,2016,12,0.008272024545243525,0.006575259602782544,0.006612798965740148,0.007262695287905378,0.007645408858934873,0.009458944256740903,0.010157611741736017,0.010806387830140268,0.0,0.0,0.0020680061363108813,0.0019113522147337183,0.0041360122726217625,0.0038227044294674366,0.006204018408932643,0.005734056644201155,0.008272024545243525,0.007645408858934873
full,straddle,section 3,GLD,2017,12,0.008042050213087988,0.005932709361335984,0.006053673384128758,0.007196184918659825,0.007692762885377839,0.008565426332825426,0.010390361910579243,0.010996394502548208,0.0,0.0,0.002010512553271997,0.0019231907213444598,0.004021025106543994,0.0038463814426889197,0.006031537659815992,0.0057695721640333795,0.008042050213087988,0.007692762885377839
full,straddle,section 3,GLD,2018,12,0.00821951890812111,0.005095997172243136,0.005348143942082446,0.007481559536354065,0.008164133657771203,0.00939171806546755,0.009804255576880135,0.011010227126673162,0.0,0.0,0.0020548797270302775,0.0020410334144428006,0.004109759454060555,0.004082066828885601,0.006164639181090833,0.006123100243328402,0.00821951890812111,0.008164133657771203
full,straddle,section 3,GLD,2019,12,0.005987359647284773,0.0029749840630958367,0.0032942474603510716,0.003752697904337531,0.005348205348205353,0.008259201116343968,0.009491936939153796,0.010427052359263304,0.0,0.0,0.0014968399118211932,0.0013370513370513384,0.0029936798236423865,0.0026741026741026767,0.00449051973546358,0.004011154011154015,0.005987359647284773,0.005348205348205353
