fewer_side_strikes,cycles,r_mean,r_median,r_sd,eta_mean,eta_total_mean,eta_sd
1,36,1.0976121130054493,1.076444811600564,0.07408361537286237,-0.16923649518357975,-0.13425705596557208,0.15788799844138693
2,42,1.0530463589126373,1.0531846669927312,0.03907580300578312,-0.12863059077886538,-0.08222096695330412,0.11000228905740495
3,66,1.0254903252099516,1.0263580269855241,0.028769656036867604,-0.10134198900594196,-0.052482166929628676,0.12440397877899964
4,73,1.0183169639715928,1.0205925792319717,0.020234035541311216,-0.04643543984290382,0.009791067448774405,0.34780737512620447
5,48,1.0027439214347094,1.0076329528475132,0.02466463694803499,0.1289856926435396,0.20645044203145033,1.3800436417231678
6 to 9,162,0.9955806045190173,1.0011201451125444,0.023209383658385218,-0.03338606979820734,0.02009575717372349,0.40271545519546925
10 to 19,175,0.9907368120145629,0.9968124495944584,0.02241227511012408,-0.04816292234476531,-0.004979059795048499,0.1273356135721569
20 to inf,227,0.9946311692769655,0.9972137226458376,0.015428895848833018,-0.0579805981047054,-0.011007116778593664,0.1274864781290026
