population,cycles,min_span_days,median_span_days,mean_span_days,max_span_days,min_offset,max_offset,sd_offset,sd_o1
every cycle with RV21,843,31.0,32.0,31.855278766310796,35.0,-0.14035735769492247,-0.018996500690655036,0.026131833047699646,0.4016628665796735
holdout O1 slope rows,152,31.0,32.0,32.046052631578945,35.0,-0.14035735769492247,-0.018996500690655036,0.029077507150993446,0.41734659649274125
