sample,arm,unit,c_bps,n,mean_k0,mean_k1,breakeven_k,boot_ci_low,boot_ci_high,outcome
estimation,strip,GLD,0.0,163,0.18238660338653637,0.1480688609859888,5.314644572412962,2.7158919799949546,7.491735472750692,survives the full quoted half-spread
estimation,strip,SLV,0.0,73,0.15981351867439036,0.11860218672451991,3.877902293203914,-0.32728354555562233,7.391741333902235,survives the full quoted half-spread
estimation,strip,USO,0.0,122,0.1941170543101364,0.1412648491130155,3.6728279091883733,2.2726675579699207,5.474037754446537,survives the full quoted half-spread
estimation,strip,UNG,0.0,36,0.07364096163596462,0.004426700805251042,1.0639564845758882,-0.6828280279502539,3.079625100141259,survives the full quoted half-spread
estimation,strip,POOLED,0.0,172,0.1652745423713357,0.12085921416908697,3.7211149632564893,2.253850368691714,5.250042401287554,survives the full quoted half-spread
estimation,strip,GLD,2.0,163,0.15517135572719779,0.1208536133266516,4.521607334074753,1.8763403393732745,6.698873302116417,survives the full quoted half-spread
estimation,strip,SLV,2.0,73,0.14763903656438707,0.10642770461451663,3.582486407961178,-0.6463148104545553,7.1144086235583845,survives the full quoted half-spread
estimation,strip,USO,2.0,122,0.1808493832703487,0.12799717807322689,3.421794466207009,2.037321312079661,5.1929055745403625,survives the full quoted half-spread
estimation,strip,UNG,2.0,36,0.06424442840254499,-0.004969832428168554,0.9281964096918708,-0.8212369155459744,2.9316460043035315,breaks even inside the grid
estimation,strip,POOLED,2.0,172,0.1438554408532253,0.09944011265097744,3.2388692524835325,1.7840419695835912,4.729985812421492,survives the full quoted half-spread
estimation,strip,GLD,5.0,163,0.11434848423819088,0.08003074183764232,3.332051476566915,0.615773366207947,5.527657719209856,survives the full quoted half-spread
estimation,strip,SLV,5.0,73,0.1293773133993815,0.08816598144951206,3.1393625800971323,-1.137888585705805,6.692680361743647,survives the full quoted half-spread
estimation,strip,USO,5.0,122,0.1609478767106653,0.10809567151354363,3.04524430173503,1.6958360598597215,4.769457768734143,survives the full quoted half-spread
estimation,strip,UNG,5.0,36,0.050149628552414977,-0.019064632278298726,0.7245562973658337,-1.0293242900732653,2.7284126957106882,breaks even inside the grid
estimation,strip,POOLED,5.0,172,0.1117267885760595,0.0673114603738107,2.5155006863239304,1.0445925766463093,3.9633559918793617,survives the full quoted half-spread
estimation,strip,GLD,10.0,163,0.046310365089846865,0.011992622689301152,1.3494583807211762,-1.526696986413361,3.638063837547695,survives the full quoted half-spread
estimation,strip,SLV,10.0,73,0.09894110812437187,0.05772977617450123,2.400822866990166,-1.9478026672524467,5.981764468622172,survives the full quoted half-spread
estimation,strip,USO,10.0,122,0.12777869911119205,0.07492649391407148,2.4176606942817505,1.097668566778027,4.058206312601388,survives the full quoted half-spread
estimation,strip,UNG,10.0,36,0.026658295468866992,-0.04255596536184668,0.3851561101558053,-1.3730750308818562,2.378572231791889,breaks even inside the grid
estimation,strip,POOLED,10.0,172,0.05817903478078499,0.01376370657853783,1.3098864093914646,-0.21849486095728557,2.7505598470354813,survives the full quoted half-spread
estimation,straddle,GLD,0.0,163,0.03316848629894761,0.024089758656704895,3.653428939162891,-0.3776781255373483,7.524880813151485,survives the full quoted half-spread
estimation,straddle,SLV,0.0,157,0.05351704539547301,0.037252631088052934,3.2904379084254956,0.7061512730563954,6.070891008350664,survives the full quoted half-spread
estimation,straddle,USO,0.0,175,0.015708551274738365,-0.0010293304521904543,0.9385029438621011,-1.244162431007544,3.4273826495984197,breaks even inside the grid
estimation,straddle,UNG,0.0,168,0.03634889748439846,0.007058073424003537,1.240965341550325,0.13790620984324642,2.351934000249985,survives the full quoted half-spread
estimation,straddle,POOLED,0.0,176,0.032067527402889255,0.0129507313187129,1.677453024120118,0.4528328367329425,3.0771861977552755,survives the full quoted half-spread
estimation,straddle,GLD,2.0,163,0.016224990621610383,0.007146262979367658,1.7871436682511064,-2.337864068228603,5.659064996613107,survives the full quoted half-spread
