arm,o2_quintile,cycles,o2_low,o2_high,mean_return,median_return,spearman_with_return
straddle,1,167,0.7054973904820625,0.9255798783646373,-0.011742029742456268,0.008901651736783518,
straddle,2,167,0.9256591144096574,0.9569202979226973,-0.0071715045750764955,0.019168504266785256,
straddle,3,166,0.9572328939722263,0.983958294508254,0.018457177597219862,0.04686185518812118,
straddle,4,167,0.9841188925481988,1.0271926245642666,0.044887460513371544,0.049419863468473164,
straddle,5,167,1.0273974489363507,1.4718154776578087,0.005714229835373629,0.053235647084177516,
straddle,all,834,0.7054973904820625,1.4718154776578087,0.010018961077159435,0.037592597375663415,0.05609278734972213
strip,1,110,0.7054973904820625,0.9255798783646373,0.10170991403442455,0.2604571680619424,
strip,2,109,0.9256591144096574,0.9566289083044847,0.026194634890687553,0.23813700154347198,
strip,3,109,0.9572328939722263,0.9852766798418973,0.14364182970762832,0.2531918969830359,
strip,4,109,0.9861048029719328,1.0313043257175363,0.18384790684010485,0.22958447515847902,
strip,5,109,1.032286328867923,1.381148688304122,0.10165050958533096,0.23049784394074252,
strip,all,546,0.7054973904820625,1.381148688304122,0.11139119519299567,0.24412839570834033,-0.002345175077174473
