arm,entry_year,holdout,cycles,half_spread_share_median,half_spread_share_mean,mean_k0_c0,mean_k1_c0,breakeven_k_c0,mean_k0_c2,mean_k1_c2,breakeven_k_c2
straddle,2007,False,16,0.04919354838709679,0.049690552459926166,0.028038870521055498,-0.021843361986873776,0.5621013557602588,0.019994064012732727,-0.029888168495195967,0.40082536421269244
straddle,2008,False,32,0.03439073004290396,0.03772494299019481,-0.060375431398672304,-0.0999928320993142,-1.5239624591952112,-0.0664777779383599,-0.10609517863900138,-1.6779944358460528
straddle,2009,False,48,0.02632034632034634,0.03068183463430099,0.07121497976449559,0.04052575636365871,2.3205207520029196,0.06448636365422676,0.033797140253390034,2.1012706255860674
straddle,2010,False,44,0.00810816733504263,0.010038690184705433,0.07740876056130154,0.06750507451167855,7.816156547515788,0.0678755107839666,0.05797182473434428,6.853560426277349
straddle,2011,False,47,0.006006006006006011,0.007986800597866172,0.017103864058391007,0.00919725493781919,2.163236325150981,0.008085310080928693,0.00017870096035702346,1.0226014663975325
straddle,2012,False,46,0.00613496932515338,0.0069118767690034225,0.08602147249227758,0.07905564889949533,12.3490742116137,0.07621581875074036,0.06924999515795789,10.9413937541729
straddle,2013,False,48,0.007326892109500791,0.007882321598618595,0.014882068754422688,0.006998742163899959,1.8877904630151683,0.003318460446469683,-0.004564866144052292,0.4209467168922605
straddle,2014,False,48,0.009136696636696622,0.011937888758510205,0.013009092874976029,0.001069977225643692,1.0896194707439264,0.0003813487652583984,-0.011557766884074706,0.03194112331759679
straddle,2015,False,48,0.0140873015873016,0.020108623226724732,0.06675313483992686,0.04664151939980688,3.319133415148905,0.057037354049898514,0.03692573860977799,2.8360404075803425
straddle,2016,False,48,0.018129614438064004,0.022811188710701705,0.0006885538898972118,-0.022131279139784327,0.030173485011990065,-0.009108333337422376,-0.031928166367104306,-0.39914110351180476
straddle,2017,False,47,0.016949152542372895,0.023133575225078685,0.06687289650171264,0.043822615140865634,2.9011748470585834,0.05368697054807952,0.030636689187230365,2.3291243047152865
straddle,2018,False,48,0.01863641625188102,0.019805173469159967,0.010503290015316857,-0.009331371437714961,0.5295421875583051,-0.0050232715403347615,-0.024857932993366444,-0.2532572361887713
straddle,2019,False,48,0.013799010277883529,0.019607367337678903,0.009324336925600293,-0.010315844668676502,0.47475818290384,-0.003865343284228296,-0.02350552487850584,-0.19680791980836476
straddle,2020,False,47,0.011705685618729107,0.012309193565712381,0.018406961387442265,0.00609726795090934,1.495322485677325,0.009784239389587408,-0.002525454046945566,0.7948402159674856
straddle,2021,False,48,0.011337930531231766,0.014451864688303845,0.05981717422791708,0.045363771417417736,4.138622233960314,0.04989516596946419,0.03544176315896453,3.4521397226415016
