population,r_n,r_mean,r_median,r_sd,r_p05,r_p95,mean_inverse_r,bias_at_rv_equal_k,bias_mean_return,bias_se,direction
passes rule 2,546,0.9946818102011403,0.9977594614514951,0.019246045706224145,0.9744384909211217,1.0103928405949016,1.0057648425019796,-0.005764842501979617,-0.0041037340984204414,0.0007638524117244508,against the seller
fails rule 2,283,1.0291208420348195,1.0218403740195365,0.04949555934267148,0.9657777266260626,1.124464633154039,0.9738197439014219,0.026180256098578103,0.021691314853970342,0.0024562741434802924,seller's favour
every computable cycle,829,1.00643843988622,0.9992769269952432,0.03667635581396183,0.9718882519515449,1.0608212916555413,0.9948595796504018,0.005140420349598163,0.004702054627184616,0.001065404424941246,seller's favour
