ticker,cycle,arm,premium,option_cost_full,option_cost_share,hedge_turnover,truncated,truncation_date,trading_days_held,hedge_days,carried_hedge_days,carried_leg_days,zero_bid_marks,carried_marks,entry_hedge_shares,return_k0_c0,return_k0_c2,return_k0_c5,return_k0_c10,return_k0.25_c0,return_k0.25_c2,return_k0.25_c5,return_k0.25_c10,return_k0.5_c0,return_k0.5_c2,return_k0.5_c5,return_k0.5_c10,return_k0.75_c0,return_k0.75_c2,return_k0.75_c5,return_k0.75_c10,return_k1_c0,return_k1_c2,return_k1_c5,return_k1_c10,return_k0_c0_borrow0,return_k0.5_c2_borrow0,return_k0_c0_borrow200,return_k0.5_c2_borrow200,return_k0_c0_position_carry,return_k0.5_c2_position_carry,gain_gross,gain_primary,spot_normalized_gross,spot_normalized_primary,var_points_gross,var_points_primary,entry,expiration,window,entry_year,years_to_expiration,k_strip,k_flat_tail,shortfall_ratio,sigma_atm,strip_puts,strip_calls,floor_pass,n_returns,missing_returns,sum_squared_log_returns,sum_simple_minus_log,rv,rv21,excluded_by,primary,robustness
GLD,1,straddle,477.5,7.499999999999996,0.015706806282722505,24.93164029330206,False,,19,18,0,0,5,0,5.748799999999996,0.06765541849663684,0.06266354820556208,0.05517574276894996,0.0426960670412669,0.06372198895793542,0.05873011866685686,0.05124231323024474,0.038762637502569294,0.059788559419214966,0.05479668912815545,0.047308883691543326,0.03482920796386407,0.055855129880524976,0.050863259589450226,0.04337545415284953,0.03089577842515885,0.051921700341819754,0.046929830050748814,0.03944202461413669,0.02696234888646125,0.06765541849663684,0.05479668912815545,0.06765541849663684,0.05479668912815545,0.06765541849663684,0.05479668912815545,32.30546233214409,26.165419058694226,0.0037094341867199548,0.003004411420219799,,,2008-06-23,2008-07-18,estimation,2008,0.0684931506849315,0.07428234486094976,0.07511702400808357,0.9888882825410656,0.262249,11,18,True,18,0,0.003086902882684151,0.001553165550117688,0.043216640357578114,0.058323913716416514,,True,False
GLD,1,strip,0.9990244382682507,0.06489115737688154,0.0649545245253124,70.86134571402451,False,,19,18,0,0,183,0,0.024825428072532893,0.4386253208238135,0.424440277576055,0.4031627127043995,0.36770010458502117,0.42235886659743865,0.4081738233496944,0.3868962584780389,0.35143365035866053,0.406092412371078,0.3919073691233338,0.3706298042516854,0.33516719613229284,0.38982595814471743,0.37564091489695184,0.35436335002531766,0.3189007419059251,0.3735595039183639,0.3593744606705912,0.3380968957989642,0.3026342876795645,0.4386253208238135,0.3919073691233338,0.4386253208238135,0.3919073691233338,0.4386253208238206,0.3919073691233409,0.4381974147462415,0.3915250392916265,,,0.032550331479356945,0.029083397990357505,2008-06-23,2008-07-18,estimation,2008,0.0684931506849315,0.07428234486094976,0.07511702400808357,0.9888882825410656,0.262249,11,18,True,18,0,0.003086902882684151,0.001553165550117688,0.043216640357578114,0.058323913716416514,,True,True
GLD,2,straddle,507.5,12.5,0.024630541871921183,24.94203625614861,False,,20,19,4,4,7,0,5.9542,-0.08550520537083044,-0.09049989006022124,-0.0979919170943182,-0.11047862881777729,-0.09167324201009044,-0.09666792669947766,-0.1041599537335603,-0.11664666545702655,-0.0978412786493397,-0.10283596333872692,-0.11032799037281672,-0.12281470209628297,-0.10400931528858895,-0.10900399997797976,-0.11649602701207314,-0.1289827387355394,-0.11017735192783822,-0.11517203661723618,-0.12266406365131881,-0.13515077537479225,-0.08144077782896866,-0.0987715357968508,-0.09769848799646595,-0.11502924596435884,-0.08873560524221166,-0.10603043883509171,-43.39389172569645,-52.18925139440391,-0.004562015530455892,-0.005486674873255247,,,2008-07-21,2008-08-15,estimation,2008,0.0684931506849315,0.07080045691015599,0.07201681529322951,0.9831100781377113,0.2551875,12,18,True,19,0,0.0059952974311844615,0.002972662602314429,0.0795165764557097,0.04403937040606174,,True,False
GLD,2,strip,0.9994603517918272,0.06304054021017844,0.06307457829333568,78.67180928013342,False,,20,19,4,16,259,0,0.023588621821936082,-0.33762922743515944,-0.3533784934097241,-0.3770023923715319,-0.41637555730788306,-0.35342450761786587,-0.3691737735924092,-0.3927976725542454,-0.4321708374905824,-0.36921978780055814,-0.38496905377510854,-0.4085929527369305,-0.4479661176732888,-0.38501506798326457,-0.40076433395780786,-0.4243882329196228,-0.46376139785598103,-0.400810348165971,-0.4165596141405072,-0.44018351310233633,-0.47955667803865903,-0.3284062920285013,-0.3757461183684433,-0.36529803365518365,-0.4126378599951398,-0.8912366769684225,-0.9384650268372241,-0.3374470264275473,-0.3847613059150368,,,-0.02389140365404383,-0.02724127626013291,2008-07-21,2008-08-15,estimation,2008,0.0684931506849315,0.07080045691015599,0.07201681529322951,0.9831100781377113,0.2551875,12,18,True,19,0,0.0059952974311844615,0.002972662602314429,0.0795165764557097,0.04403937040606174,,True,True
GLD,3,straddle,560.0,9.999999999999986,0.017857142857142832,65.76234339607143,False,,24,23,0,0,0,0,2.992199999999997,-1.3191027375678719,-1.3322660172494607,-1.3520109367718427,-1.3849191359758133,-1.3235773589106137,-1.3367406385921994,-1.3564855581145845,-1.389393757318552,-1.328051980253349,-1.3412152599349378,-1.3609601794573232,-1.3938683786612904,-1.3325266015960875,-1.3456898812776732,-1.3654348008000552,-1.3983430000040258,-1.3370012229388295,-1.350164502620415,-1.3699094221428003,-1.4028176213467676,-1.3182620008087562,-1.340374523175819,-1.3216249478452158,-1.3437374702122817,-1.3191027375678719,-1.3412152599349378,-738.6975330380083,-751.0805455635652,-0.09374334175609243,-0.09531479004613773,,,2008-08-18,2008-09-19,estimation,2008,0.08767123287671233,0.10125369483862165,0.10279079923715681,0.985046284201091,0.30024249999999997,15,20,True,23,0,0.02050353013673395,0.010463890875305026,0.22464737367204154,0.07583788526639539,,True,False
GLD,3,strip,1.0144677390553087,0.0621788472223035,0.06129208926861055,103.42688042696999,False,,24,23,0,0,261,0,0.025981020554087242,-1.4300593374192208,-1.4507610268704103,-1.4818135610472036,-1.5335677846751934,-1.44541783530303,-1.4661195247542267,-1.4971720589310165,-1.5489262825590029,-1.4607763331868464,-1.4814780226380395,-1.5125305568148293,-1.5642847804428122,-1.4761348310706524,-1.4968365205218523,-1.5278890546986352,-1.5796432783266285,-1.4914933289544652,-1.5121950184056654,-1.543247552582448,-1.5950017762104345,-1.4292606388380165,-1.4806793240568352,-1.4324554331628232,-1.483874118381642,-1.4300593374192243,-1.481478022638043,-1.4507490627466098,-1.5029116600857415,,,-0.1468937028867616,-0.15217535859972794,2008-08-18,2008-09-19,estimation,2008,0.08767123287671233,0.10125369483862165,0.10279079923715681,0.985046284201091,0.30024249999999997,15,20,True,23,0,0.02050353013673395,0.010463890875305026,0.22464737367204154,0.07583788526639539,,True,True
GLD,4,straddle,960.0,39.999999999999986,0.04166666666666665,27.104088628509917,False,,20,19,0,0,1,0,7.7912000000000035,-0.10730500465286828,-0.11273309960575437,-0.12087524203507405,-0.13444547941727983,-0.11775122265747105,-0.12317931761035714,-0.13132146003967682,-0.14489169742188068,-0.1281974406620738,-0.1336255356149599,-0.1417676780442777,-0.15533791542648345,-0.13864365866668038,-0.14407175361956268,-0.15221389604888047,-0.16578413343108622,-0.14908987667128126,-0.15451797162416356,-0.16266011405348324,-0.1762303514356928,-0.10634318505049407,-0.13266371601258192,-0.1101904634599966,-0.13651099442208633,-0.10730500465286828,-0.1336255356149599,-103.01280446675355,-128.28051419036152,-0.011551110615244848,-0.014384448776672068,,,2008-09-22,2008-10-17,estimation,2008,0.0684931506849315,0.298270571671882,0.3008163774788702,0.9915370106231433,0.5160739999999999,27,25,True,19,0,0.017970580645789117,0.00886713680185628,0.23834664856520302,0.2476206583344036,,True,False
GLD,4,strip,0.9986474493488129,0.07488174364549822,0.07498316217031976,42.26289333970427,False,,20,19,0,0,205,0,0.00989177482606737,0.13861806478941788,0.1301546404525086,0.11745950394715358,0.09630094310489107,0.11981909378048251,0.11135566944357679,0.09866053293821822,0.07750197209595926,0.1010201227715507,0.09255669843463965,0.07986156192928641,0.05870300108702035,0.08222115176261534,0.07375772742570606,0.06106259092034749,0.039904030078088536,0.06342218075368176,0.05495875641677426,0.04226361991141568,0.021105059069149612,0.14008147441488392,0.09402010806010212,0.13422783591303758,0.08816646955826114,0.13861806478942143,0.09255669843463965,0.13843057683562066,0.09243151081190015,,,0.04128976728962896,0.0275695995703612,2008-09-22,2008-10-17,estimation,2008,0.0684931506849315,0.298270571671882,0.3008163774788702,0.9915370106231433,0.5160739999999999,27,25,True,19,0,0.017970580645789117,0.00886713680185628,0.23834664856520302,0.2476206583344036,,True,True
GLD,5,straddle,850.0,30.000000000000007,0.03529411764705883,20.711356335561952,False,,25,24,1,1,1,0,3.320300000000003,0.10231574247989664,0.09817066765725646,0.09195305542330691,0.0815903683667129,0.09347802441072846,0.08933294958808935,0.08311533735413874,0.072752650297549,0.08464030634155921,0.08049523151892224,0.07427761928497162,0.06391493222837975,0.0758025882723921,0.07165751344975621,0.06543990121580237,0.05507721415921265,0.06696487020322606,0.0628197953805891,0.0566021831466342,0.04623949609004447,0.10433307183245714,0.0825125608714849,0.09626375442221187,0.07444324346124069,0.11719900923146911,0.09537552325389231,86.96838110791214,68.4209467910839,0.011078774663428298,0.00871604417720814,,,2008-10-20,2008-11-21,estimation,2008,0.08767123287671233,0.25381049419237495,0.2573159751305335,0.9863767458029753,0.456898,27,34,True,24,0,0.019325925838332883,0.009715424224224431,0.20292222130249526,0.2349654948273902,,True,False
GLD,5,strip,0.9993745907108148,0.07848671548034078,0.07853583251953239,45.65729694571608,False,,25,24,0,0,473,0,0.0032396359179362047,0.11636398819276995,0.10722716142807184,0.09352192128100469,0.07067985436924741,0.09669845771894826,0.08756163095424394,0.073856390807183,0.05101432389542127,0.07703292724511947,0.06789610048042315,0.054190860333359535,0.031348793421600483,0.05736739677130134,0.04823057000659879,0.03452532985953341,0.011683262947772579,0.03770186629747966,0.028565039532774443,0.014859799385710833,-0.007982267526049993,0.1190632957147527,0.0705954080023979,0.10826606562683946,0.0597981779144891,0.11636398819277173,0.06789610048042315,0.11629121307362755,0.06785363762848323,,,0.029515930260448183,0.017221965299235656,2008-10-20,2008-11-21,estimation,2008,0.08767123287671233,0.25381049419237495,0.2573159751305335,0.9863767458029753,0.456898,27,34,True,24,0,0.019325925838332883,0.009715424224224431,0.20292222130249526,0.2349654948273902,,True,True
