ticker,bucket,cycle_day,mid,unclassified,zero bid,carried,leg_days,share_mid,share_zero_bid,share_carried,share_unclassified
ALL,below -3,0,3338,0,0,0,3338,1.0,0.0,0.0,0.0
ALL,below -3,1,2931,1,406,0,3338,0.878070701018574,0.12162971839424805,0.0,0.0002995805871779509
ALL,below -3,2,2798,1,539,0,3338,0.8382264829239066,0.16147393648891553,0.0,0.0002995805871779509
ALL,below -3,3,2636,5,697,0,3338,0.7896944278010785,0.20880766926303176,0.0,0.0014979029358897543
ALL,below -3,4,2485,4,849,0,3338,0.7444577591372079,0.2543439185140803,0.0,0.0011983223487118035
ALL,below -3,5,2210,4,1124,0,3338,0.6620730976632714,0.33672857998801675,0.0,0.0011983223487118035
ALL,below -3,6,2026,3,1309,0,3338,0.6069502696225285,0.39215098861593767,0.0,0.0008987417615338526
ALL,below -3,7,1834,3,1501,0,3338,0.5494307968843619,0.44967046135410427,0.0,0.0008987417615338526
ALL,below -3,8,1669,2,1667,0,3338,0.5,0.4994008388256441,0.0,0.0005991611743559018
ALL,below -3,9,1425,6,1907,0,3338,0.42690233672857997,0.5713001797483523,0.0,0.0017974835230677051
ALL,below -3,10,1194,1,2143,0,3338,0.35769922109047336,0.6420011983223487,0.0,0.0002995805871779509
ALL,below -3,11,1012,1,2325,0,3338,0.30317555422408626,0.6965248651887358,0.0,0.0002995805871779509
ALL,below -3,12,847,8,2483,0,3338,0.2537447573397244,0.743858597962852,0.0,0.002396644697423607
ALL,below -3,13,694,5,2639,0,3338,0.2079089275014979,0.7905931695626124,0.0,0.0014979029358897543
ALL,below -3,14,510,8,2820,0,3338,0.15278609946075494,0.8448172558418214,0.0,0.002396644697423607
ALL,below -3,15,373,6,2959,0,3338,0.11174355901737568,0.8864589574595566,0.0,0.0017974835230677051
ALL,below -3,16,285,2,3014,0,3301,0.08633747349288094,0.9130566495001514,0.0,0.0006058770069675856
ALL,below -3,17,223,1,2890,0,3114,0.07161207450224791,0.9280667951188183,0.0,0.0003211303789338471
ALL,below -3,18,148,2,1834,0,1984,0.07459677419354839,0.9243951612903226,0.0,0.0010080645161290322
ALL,below -3,19,95,0,997,0,1092,0.08699633699633699,0.913003663003663,0.0,0.0
