ticker,cycle,arm,entry,window,excluded_by,hedge_days,carried_hedge_days,carried_leg_days,zero_bid_marks,carried_marks
GLD,1,straddle,2008-06-23,estimation,,18,0,0,5,0
GLD,1,strip,2008-06-23,estimation,,18,0,0,183,0
GLD,2,straddle,2008-07-21,estimation,,19,4,4,7,0
GLD,2,strip,2008-07-21,estimation,,19,4,16,259,0
GLD,3,straddle,2008-08-18,estimation,,23,0,0,0,0
GLD,3,strip,2008-08-18,estimation,,23,0,0,261,0
GLD,4,straddle,2008-09-22,estimation,,19,0,0,1,0
GLD,4,strip,2008-09-22,estimation,,19,0,0,205,0
GLD,5,straddle,2008-10-20,estimation,,24,1,1,1,0
GLD,5,strip,2008-10-20,estimation,,24,0,0,473,0
GLD,6,straddle,2008-11-24,estimation,,18,0,0,0,0
GLD,6,strip,2008-11-24,estimation,,18,0,0,591,0
GLD,7,straddle,2008-12-22,estimation,,17,0,0,0,0
GLD,7,strip,2008-12-22,estimation,,17,0,0,337,0
GLD,8,straddle,2009-01-20,estimation,,22,2,2,3,0
GLD,8,strip,2009-01-20,estimation,,22,2,7,249,0
GLD,9,straddle,2009-02-23,estimation,,19,0,0,1,0
GLD,9,strip,2009-02-23,estimation,,19,0,0,324,0
GLD,10,straddle,2009-03-23,estimation,,18,0,0,3,0
GLD,10,strip,2009-03-23,estimation,,18,1,1,430,0
GLD,11,straddle,2009-04-20,estimation,,19,0,0,1,0
GLD,11,strip,2009-04-20,estimation,,19,0,0,231,0
GLD,12,straddle,2009-05-18,estimation,,23,0,0,0,0
GLD,12,strip,2009-05-18,estimation,,23,0,0,285,0
GLD,13,straddle,2009-06-22,estimation,,18,0,0,0,0
GLD,13,strip,2009-06-22,estimation,,18,0,0,212,0
GLD,14,straddle,2009-07-20,estimation,,24,0,0,0,0
GLD,14,strip,2009-07-20,estimation,,24,0,0,194,0
GLD,15,straddle,2009-08-24,estimation,,18,2,2,5,0
GLD,15,strip,2009-08-24,estimation,,18,2,5,213,0
GLD,16,straddle,2009-09-21,estimation,,19,0,0,3,0
GLD,16,strip,2009-09-21,estimation,,19,0,0,280,0
GLD,17,straddle,2009-10-19,estimation,,24,0,0,1,0
GLD,17,strip,2009-10-19,estimation,,24,0,0,134,0
GLD,18,straddle,2009-11-23,estimation,,18,0,0,0,0
GLD,18,strip,2009-11-23,estimation,,18,0,0,420,0
GLD,19,straddle,2009-12-21,estimation,,17,0,0,1,0
GLD,19,strip,2009-12-21,estimation,,17,0,0,286,0
GLD,20,straddle,2010-01-19,estimation,,22,0,0,0,0
GLD,20,strip,2010-01-19,estimation,,22,0,0,141,0
GLD,21,straddle,2010-02-22,estimation,,19,0,0,0,0
