ticker,cycle,arm,entry,expiration,truncation_date,trading_days_held,return_to_truncation_k0_c0,return_to_truncation_primary,gamma_component,theta_component,vega_component,residual,jump_term_to_truncation,jump_term_full_cycle,sum_squared_log_returns_full_cycle,hedge_accrual_simple_minus_log
UNG,46,straddle,2011-02-22,2011-03-18,2011-03-08,11,0.01529313266422605,-0.00267704918089481,-0.2346189700098217,0.2501254794520548,0.013175952342857148,-0.013389329120864204,4.568138993303684e-07,5.098788986151816e-05,0.009096514082794814,0.01349875984591696
UNG,46,strip,2011-02-22,2011-03-18,2011-03-08,11,0.052804731150795606,0.01439385791390066,-0.30115502825332646,0.4227230359638825,-0.2163012943971203,0.14753801783735984,4.568138993303684e-07,5.098788986151816e-05,0.009096514082794814,0.013456600380824486
UNG,58,strip,2012-02-21,2012-03-16,2012-02-21,1,0.0,-0.029565548561280696,-0.0,0.0,-0.0,0.0,0.0,-8.90565294085537e-05,0.01125976260794029,0.0
UNG,128,straddle,2017-12-18,2018-01-19,2018-01-04,12,-0.048753869774415516,-0.07672824441559707,-0.35205666560747684,0.26134599923185253,0.07967446288971963,-0.03771766628851082,9.123144258114179e-05,0.0002115701043660922,0.02049998366577923,0.0037281342221258014
UNG,201,straddle,2024-01-22,2024-02-16,2024-01-23,2,0.00017417727963747417,-0.007639965809976364,-0.009541993828125057,0.019736130136986302,-0.010865054970312558,0.0008450959410887873,3.623558975781151e-06,-0.00021896998996321734,0.020794942464977963,3.0101886246678835e-07
UNG,201,strip,2024-01-22,2024-02-16,2024-01-23,2,-0.04813118579404726,-0.1061357864410356,-0.01248555384780696,0.03421915946107998,-0.016358844171048836,-0.053505947236271445,3.623558975781151e-06,-0.00021896998996321734,0.020794942464977963,0.0014475669201775214
USO,156,strip,2020-04-20,2020-05-15,2020-04-28,7,0.49360316001028254,0.44451769644277744,-0.1338829097850177,0.13709128975851648,0.137131830824993,0.3532629492117908,-0.009213103119630885,-0.008744757396114298,0.1499291730236992,-0.021988749774180603
