ticker,arm,entry_year,leg_days,absent_share,delta_null_share,share_opprcd_delta,share_black_scholes_own_iv,share_black_scholes_prior_iv,share_carried
ALL,straddle,2007,644,0.0,0.027950310559006212,0.9720496894409938,0.0,0.021739130434782608,0.006211180124223602
ALL,straddle,2008,1266,0.0,0.053712480252764615,0.9462875197472354,0.0,0.0315955766192733,0.022116903633491312
ALL,straddle,2009,1912,0.0,0.032426778242677826,0.9675732217573222,0.0,0.020397489539748955,0.01202928870292887
ALL,straddle,2010,1782,0.0,0.023007856341189674,0.9769921436588104,0.0,0.01627384960718294,0.006734006734006734
ALL,straddle,2011,1912,0.0,0.03190376569037657,0.9680962343096234,0.0,0.01882845188284519,0.01307531380753138
ALL,straddle,2012,1830,0.0,0.022404371584699455,0.9775956284153006,0.0,0.01639344262295082,0.006010928961748634
ALL,straddle,2013,1912,0.0,0.017259414225941423,0.9827405857740585,0.0,0.012552301255230125,0.004707112970711297
ALL,straddle,2014,1912,0.0,0.024581589958158997,0.975418410041841,0.0,0.01778242677824268,0.006799163179916318
ALL,straddle,2015,1912,0.0,0.021966527196652718,0.9780334728033473,0.0,0.01778242677824268,0.0041841004184100415
ALL,straddle,2016,1944,0.0,0.032407407407407406,0.9675925925925926,0.0,0.025205761316872428,0.00720164609053498
ALL,straddle,2017,1912,0.0,0.04445606694560669,0.9555439330543933,0.0,0.022489539748953975,0.021966527196652718
ALL,straddle,2018,1912,0.0,0.03347280334728033,0.9665271966527197,0.0,0.02405857740585774,0.009414225941422594
ALL,straddle,2019,1912,0.0,0.05073221757322176,0.9492677824267782,0.0,0.029288702928870293,0.021443514644351465
ALL,straddle,2020,1874,0.0,0.0240128068303095,0.9759871931696905,0.0,0.015474919957310566,0.008537886872998933
ALL,straddle,2021,1952,0.0,0.028688524590163935,0.9713114754098361,0.0,0.0194672131147541,0.009221311475409836
ALL,straddle,2022,1904,0.0,0.02468487394957983,0.9753151260504201,0.0,0.014180672268907563,0.01050420168067227
ALL,straddle,2023,1904,0.0,0.032563025210084036,0.967436974789916,0.0,0.018907563025210083,0.01365546218487395
ALL,straddle,2024,1904,0.0,0.04096638655462185,0.9590336134453782,0.0,0.015756302521008403,0.025210084033613446
ALL,straddle,2025,1096,0.0,0.04105839416058394,0.958941605839416,0.0,0.01916058394160584,0.021897810218978103
ALL,straddle,ALL,33396,0.0,0.031590609653850764,0.9684093903461493,0.0,0.019613127320637202,0.011977482333213559
ALL,strip,2007,6566,0.0,0.011574779165397502,0.9884252208346025,0.0,0.008681084374048126,0.0028936947913493754
ALL,strip,2008,22918,0.0,0.02487128021642377,0.9751287197835762,0.0,0.01627541670302819,0.008595863513395583
ALL,strip,2009,19592,0.0,0.01199469171090241,0.9880053082890976,0.0,0.008166598611678236,0.003828093099224173
ALL,strip,2010,23531,0.0,0.004249713144362756,0.9957502868556373,0.0,0.0031022905953848115,0.001147422548977944
ALL,strip,2011,33652,0.0,0.00817187685724474,0.9918281231427553,0.0,0.0061214786639724236,0.0020503981932723167
ALL,strip,2012,37637,0.0,0.007333209341871031,0.992666790658129,0.0,0.004304275048489519,0.0030289342933815127
ALL,strip,2013,29378,0.0,0.002791204302539315,0.9972087956974607,0.0,0.0023146572264960176,0.0004765470760432977
