measure,mean_passing,mean_failing,difference,welch_t,p_two_sided,n_passing,n_failing
eta,-0.04826740948360164,-0.056631408779931475,0.008363999296329833,0.223231605717526,0.8234932978261144,546,283
eta_total,-0.0006724393350816629,-0.003085777161346879,0.002413337826265216,0.05561766468372276,0.9556803501387274,546,283
