ticker,left,right,n,correlation,log_correlation,median_ratio,p05_ratio,p95_ratio
ALL,k_strip,item1_model_free_30,647,0.9988638920021805,0.9984626368644426,1.0279965121563226,0.9737913431823085,1.127661743981824
ALL,k_strip,sigma_atm_squared,833,0.9091842142980937,0.9955731649870588,1.2129086688738662,1.0405340961054175,1.3914665364093168
ALL,k_strip,iv30_squared,833,0.8086500101268941,0.9937692398037932,1.2126795205775878,1.025170939671999,1.3955812002024777
ALL,sigma_atm_squared,iv30_squared,833,0.9768145058476002,0.9986977168987841,0.9963725506068907,0.9381967259995716,1.0549515188354255
ALL,sigma_atm_squared,item1_model_free_30,647,0.9110033724683759,0.9953248290413934,0.8516259910941103,0.7314273948307856,0.98933740825232
ALL,iv30_squared,item1_model_free_30,647,0.8107227227433726,0.9948450047591982,0.8508647893739169,0.7424279544592849,0.994400751068958
ALL,k_strip,k_item1_rules,833,0.9995826183307615,0.9995916840069277,1.0,1.0,1.066484600198144
GLD,k_strip,item1_model_free_30,192,0.9983324800697124,0.9969137244835254,1.0271520595606272,0.9891037292799076,1.1463257252899033
GLD,k_strip,sigma_atm_squared,206,0.9974326723075286,0.9956507724687846,1.2412343074868284,1.110190078449223,1.359405253829534
GLD,k_strip,iv30_squared,206,0.9967707169331771,0.9951808292600789,1.2402732996703878,1.1120851202195459,1.3701604354450159
GLD,sigma_atm_squared,iv30_squared,206,0.9995471028155216,0.9990772949343915,0.9957984944523705,0.9652582740372395,1.051453089871038
GLD,sigma_atm_squared,item1_model_free_30,192,0.9959834062533865,0.9938991328777363,0.8402825219151895,0.7492721056004257,0.935086960128412
GLD,iv30_squared,item1_model_free_30,192,0.9960246579224691,0.9951324548168603,0.8403128416154654,0.7578739264014688,0.9203739002641691
GLD,k_strip,k_item1_rules,206,0.9996240578923317,0.9993454321335898,1.0,1.0,1.056562900738019
SLV,k_strip,item1_model_free_30,153,0.9982484514846509,0.9979572016064283,1.0249385758934484,0.987277446233835,1.0848654489111675
SLV,k_strip,sigma_atm_squared,200,0.993838865139759,0.9945790822558814,1.2463109657464324,1.1440705972251168,1.3911716637470186
SLV,k_strip,iv30_squared,200,0.9935423490128945,0.9941904732013561,1.2455376632221697,1.1378803459380153,1.395924502735464
SLV,sigma_atm_squared,iv30_squared,200,0.9983353022200235,0.9990366557812049,0.9958144069302852,0.9552369998421537,1.0457662592436772
SLV,sigma_atm_squared,item1_model_free_30,153,0.9927309890940396,0.993777871557606,0.8197776140253323,0.7444234635879586,0.8973789619703236
SLV,iv30_squared,item1_model_free_30,153,0.9949130979054216,0.9946598006147617,0.8215521077817299,0.7519566696189793,0.8828014442481898
SLV,k_strip,k_item1_rules,200,0.9993612605203167,0.9994376635932629,1.0,1.0,1.0440208389396954
UNG,k_strip,item1_model_free_30,127,0.990017599315433,0.9957267795086583,1.0249765118859608,0.9577538496661084,1.132133084566542
UNG,k_strip,sigma_atm_squared,208,0.9857136740354601,0.9884753098472798,1.1154098663437941,0.9984190608625579,1.3662764446167104
UNG,k_strip,iv30_squared,208,0.9766327643370598,0.9822362448840267,1.0975504527771551,0.9698943299447084,1.3578738694632173
UNG,sigma_atm_squared,iv30_squared,208,0.9926601956694278,0.9944953231053972,0.9961182408014264,0.9102188554420252,1.0680290819168583
UNG,sigma_atm_squared,item1_model_free_30,127,0.989212758931107,0.9938537650781728,0.944228384925458,0.7993015544113,1.0346820514272785
UNG,iv30_squared,item1_model_free_30,127,0.9876939513226564,0.9946341207241262,0.94374747474388,0.8365562777895184,1.0483277855755797
UNG,k_strip,k_item1_rules,208,0.9969427675383115,0.9990471871572104,1.009018774246759,1.0,1.0519217135974184
USO,k_strip,item1_model_free_30,175,0.9998354139867947,0.9958469736015052,1.0324598056204117,0.9492357804576621,1.1213382761004822
USO,k_strip,sigma_atm_squared,219,0.9272817053327534,0.9879509723405613,1.203504029940627,1.061870170647022,1.4623071429898689
USO,k_strip,iv30_squared,219,0.8315288240456793,0.9823455529292409,1.2065025535173994,1.0538731137230328,1.4554964210173358
USO,sigma_atm_squared,iv30_squared,219,0.9780096293828422,0.9968789933013144,0.9987319708402277,0.9301907211414782,1.0569683202727977
USO,sigma_atm_squared,item1_model_free_30,175,0.9277288436814086,0.9831088331646208,0.853055204464262,0.6799763658129333,0.9785417902452878
USO,iv30_squared,item1_model_free_30,175,0.8330536038472165,0.979318377871834,0.8543667990401039,0.7006595490297582,0.9675647525370987
USO,k_strip,k_item1_rules,219,0.9999321194360797,0.9989582722664249,1.0312332308427805,1.0,1.097377705290025
