ticker,cycle,arm,date,close,hedge_shares,hedge_trade_shares,equity_k0_c0
UNG,46,straddle,2011-02-22,5.193,34.38589999999999,34.38589999999999,0.0
UNG,46,straddle,2011-02-23,5.26,41.56219999999999,7.176299999999998,-0.06421755016303621
UNG,46,straddle,2011-02-24,5.175,31.939800000000005,-9.622399999999985,-0.00550448445708068
UNG,46,straddle,2011-02-25,5.3575,61.0999,29.160099999999993,0.014212472389718164
UNG,46,straddle,2011-02-28,5.39,69.0433,7.943400000000004,0.0613472882241451
UNG,46,straddle,2011-03-01,5.175,37.7786,-31.264700000000005,-0.006429612727135999
UNG,46,straddle,2011-03-02,5.1,23.3947,-14.383899999999997,-0.026299925659383154
UNG,46,straddle,2011-03-03,5.05,13.984199999999994,-9.410500000000006,0.017262814438606847
UNG,46,straddle,2011-03-04,5.071,18.656000000000006,4.671800000000012,0.024248022363985842
UNG,46,straddle,2011-03-07,5.24,57.6527,38.9967,0.027855151431861628
UNG,46,straddle,2011-03-08,5.1615,42.02230000000001,-15.630399999999995,0.01529313266422605
UNG,46,strip,2011-02-22,5.193,0.7640606931558358,0.7640606931558358,4.0510910202490616e-16
UNG,46,strip,2011-02-23,5.26,1.168859280582647,0.4047985874268112,-0.018390288712566982
UNG,46,strip,2011-02-24,5.175,0.8614733152016287,-0.30738596538101826,0.038251552625836
UNG,46,strip,2011-02-25,5.3575,1.6319150693556623,0.7704417541540336,0.05427706719848097
UNG,46,strip,2011-02-28,5.39,1.818696814621732,0.1867817452660696,0.10250991803243058
UNG,46,strip,2011-03-01,5.175,0.9048937544619807,-0.9138030601597512,0.040370552786861795
UNG,46,strip,2011-03-02,5.1,0.5724294702305166,-0.3324642842314641,0.018308286342985657
UNG,46,strip,2011-03-03,5.05,0.3549082421004207,-0.2175212281300959,0.05199423798648471
UNG,46,strip,2011-03-04,5.071,0.4619646062161987,0.10705636411577801,0.058786516690284646
UNG,46,strip,2011-03-07,5.24,1.355510110653091,0.8935455044368922,0.0701666312618531
UNG,46,strip,2011-03-08,5.1615,0.9942651238506957,-0.36124498680239525,0.052804731150795606
UNG,58,strip,2012-02-21,5.52,1.4686147291360248,1.4686147291360248,0.0
UNG,128,straddle,2017-12-18,5.42,-3.9380999999999986,-3.9380999999999986,0.0
UNG,128,straddle,2017-12-19,5.36,-10.982600000000005,-7.044500000000006,-0.014238732923839958
UNG,128,straddle,2017-12-20,5.23,-25.692,-14.709399999999995,-0.052945518083252
UNG,128,straddle,2017-12-21,5.14,-36.60850000000001,-10.916500000000006,-0.04709911038933635
UNG,128,straddle,2017-12-22,5.25,-24.445700000000002,12.162800000000004,-0.047604695027060245
UNG,128,straddle,2017-12-26,5.22,-31.191899999999997,-6.746199999999995,0.02221866857881421
UNG,128,straddle,2017-12-27,5.39,-10.657899999999998,20.534,0.053947296306471604
UNG,128,straddle,2017-12-28,5.76,37.605900000000005,48.2638,-0.15057830117277493
UNG,128,straddle,2017-12-29,5.83,44.767500000000005,7.1616,-0.1669315444873102
UNG,128,straddle,2018-01-02,6.01,66.2969,21.52939999999999,-0.12913822804186403
UNG,128,straddle,2018-01-03,5.91,60.5934,-5.703499999999991,-0.08510285802527659
UNG,128,straddle,2018-01-04,5.67,34.154300000000006,-26.439099999999996,-0.048753869774415516
UNG,201,straddle,2024-01-22,4.92,0.015899999999994918,0.015899999999994918,8.890457814381136e-18
UNG,201,straddle,2024-01-23,5.03,10.869299999999996,10.8534,0.00017417727963747417
UNG,201,strip,2024-01-22,4.92,1.5153573843053607,1.5153573843053607,0.0
UNG,201,strip,2024-01-23,5.03,1.7092244786975848,0.19386709439222405,-0.04813118579404726
USO,156,strip,2020-04-20,3.75,-0.007761880761470303,-0.007761880761470303,9.963940472980188e-17
USO,156,strip,2020-04-21,2.81,-0.2045979831718564,-0.1968361024103861,-0.48812392652063835
USO,156,strip,2020-04-22,2.51,-0.44902081150333345,-0.24442282833147705,-0.015225286700503948
USO,156,strip,2020-04-23,2.64,-0.4078624104133329,0.041158401090000574,0.23744802308246352
USO,156,strip,2020-04-24,2.57,-0.4842010567000165,-0.07633864628668363,0.4361621099099973
USO,156,strip,2020-04-27,2.19,-0.7300073900234472,-0.24580633332343066,0.4347967336174713
USO,156,strip,2020-04-28,2.13,-0.786806012864674,-0.05679862284122683,0.49360316001028254
