series,window,pooled_cycles,fund_cycles,fund_cycles_traded,share_traded,mean_pooled_return,cumulative_return
unconditional,estimation,172,394,394,1.0,0.12164777675210224,20.923417601361585
unconditional,holdout,43,152,152,1.0,0.06453037060000197,2.7748059358000847
O1 gate,estimation,172,394,242,0.6142131979695431,0.055559224129741826,9.556186550315594
O1 gate,holdout,43,152,70,0.4605263157894737,0.02140230904928923,0.9202992891194369
O2 gate,estimation,172,394,363,0.9213197969543148,0.12439199179071991,21.395422588003825
O2 gate,holdout,43,152,133,0.875,0.05114189546622002,2.199101505047461
